whiskey,Match_1,Reco_1,Match_2,Reco_2,Match_3,Reco_3,Match_4,Reco_4,Match_5,Reco_5,Match_6,Reco_6,Match_7,Reco_7,Match_8,Reco_8,Match_9,Reco_9,Match_10,Reco_10,Match_11,Reco_11,Match_12,Reco_12,Match_13,Reco_13,Match_14,Reco_14,Match_15,Reco_15,Match_16,Reco_16,Match_17,Reco_17,Match_18,Reco_18,Match_19,Reco_19,Match_20,Reco_20
Baker's 107,0.94419082828299,Booker's Bourbon,0.9250057517363095,Old Grand Dad 114,0.9230858259631645,Knob Creek Single Barrel Reserve,0.9134808953708939,Knob Creek 9 Small Batch,0.9096703209656254,Wild Turkey Rare Breed,0.9063901680103252,Woodford Reserve Distiller's Select,0.8969960485065136,Elijah Craig 12,0.8927659187454285,Henry McKenna 10 Single Barrel,0.8876169457194812,Buffalo Trace,0.8861302865795803,Elijah Craig Barrel Proof,0.8845684840334571,Elmer T. Lee,0.8838323698139675,Blanton's Original Single Barrel,0.8784228007821917,Noah's Mill,0.8784199928220298,Jim Beam Black 8 Double Aged,0.8778033375549463,Blanton's Straight from the Barrel,0.87282360504465,Wild Turkey 101,0.8720559478382626,Black Maple Hill,0.8712918829761668,Old Grand Dad 100 Bottled in Bond,0.8659138511109105,1792 Full Proof,0.8658044127903912,Colonel E.H. Taylor Small Batch
Deanston 12,0.9182492678627165,Arran 10,0.9124678142807926,Compass Box Great King St. Artist's Blend,0.9100261216341243,Deanston Virgin Oak,0.890988164630563,Balvenie 12 Single Barrel First Fill,0.8904520860375188,Clynelish 14,0.8878387995842948,Craigellachie 13,0.8803783424718348,Arran 14,0.879081732819791,Yellow Spot,0.8789915520876239,Aberfeldy 12,0.8701665185514942,Monkey Shoulder,0.8634049552152855,Tobermory 10,0.8535538591711245,Glenkinchie 12,0.8500377787579328,AnCnoc 12,0.8496727863514695,Compass Box Oak Cross,0.8494422016109527,Auchentoshan Classic,0.8484117363973298,Old Pulteney 12,0.848369875254793,Aultmore 12,0.8423701770841727,Green Spot,0.8417084173982838,Balvenie 15 Single Barrel,0.8409847709658232,Cragganmore 12
Maker's Mark 46,0.946783777600826,W.L. Weller 12,0.9355621116157568,Elijah Craig 12,0.926779663380001,Larceny Small Batch Bourbon,0.9265538245572252,Buffalo Trace,0.9219912654897203,Booker's Bourbon,0.9218928997145585,Eagle Rare 10,0.9199014380013734,Maker's Mark Cask Strength,0.9169941223158485,Henry McKenna 10 Single Barrel,0.9106242975880942,Orphan Barrel Barterhouse 20,0.9105050881108265,Wild Turkey Rare Breed,0.9092760061791816,Old Weller Antique 107,0.9052412050999726,Elmer T. Lee,0.9045425514066144,Woodford Reserve Distiller's Select,0.9042177997189619,Blanton's Original Single Barrel,0.9033664592797839,Colonel E.H. Taylor Small Batch,0.9010986632440783,W.L. Weller Special Reserve,0.8993823882372239,Old Rip Van Winkle 10,0.8962457146410505,Maker's Mark,0.8930051345356791,Blanton's Straight from the Barrel,0.8922460227608694,Michter's 10 Bourbon
Yamazaki 12,0.900300960317371,Glenlivet 16 Nadurra,0.8967584100348105,Glenlivet 15 French Oak Reserve,0.8956064648882659,Glenlivet 18,0.8828917024308008,Balvenie 15 Single Barrel,0.8667543982898647,Nikka Whisky From The Barrel,0.8563656777878741,Macallan 10 Fine Oak,0.8540008289164578,Cragganmore 12,0.8539181631033084,Glenmorangie 10 Original,0.8534034387408357,Glenlivet 21 Archive,0.850908907065234,Chivas Regal 12,0.8482573793758719,Glenfiddich 15,0.8464567675653121,Glenmorangie Astar,0.8453868661186162,Glenlivet 12,0.8367469090752346,Hakushu 12,0.8341429532809724,BenRiach 12,0.8334970549026781,Glenfiddich 18,0.831121846311597,Hibiki 17,0.8308861078651388,Green Spot,0.8233040417981236,Auchentoshan Valinch,0.8222943480825068,Speyburn 10
Dalmore 15,0.9204110405264154,Dalmore 12,0.9022032796894931,Glenfarclas 15,0.9018277996188413,GlenDronach 12 Original,0.8929203439003012,Balvenie 15 Single Barrel Sherry Cask,0.8849771678458371,Aberlour 18,0.878553373621212,Macallan Edition No. 2,0.8697767098361875,GlenDronach 15 Revival,0.8694828405291066,Glenfarclas 105 Cask Strength,0.8634753040158513,Macallan 12,0.8622884155749275,Glenfarclas 17,0.8585917228620471,Glenfarclas 12,0.8580322739761331,Auchentoshan Three Wood,0.8550863559122719,Glenfarclas 25,0.8487057287039483,Glenmorangie Lasanta,0.8483351384651578,Glengoyne 21,0.8473879740392533,Aberlour 10,0.8445664629731804,Tobermory 15,0.842140270270949,GlenDronach 21 Parliament,0.8403805805676621,Aberlour 16,0.8401415567235082,Macallan 18 Sherry
Colonel E.H. Taylor Single Barrel,0.9420329784108913,Elmer T. Lee,0.9416285513996507,Blanton's Straight from the Barrel,0.9402970591854144,Colonel E.H. Taylor Barrel Proof,0.9367041920851331,Buffalo Trace,0.9346641210360052,Wild Turkey 101,0.9333860847035491,Elijah Craig 12,0.9329702291493823,Russell's Reserve Single Barrel Bourbon,0.9320374456134095,Colonel E.H. Taylor Small Batch,0.9293945375800711,1792 Full Proof,0.9269516979144503,Henry McKenna 10 Single Barrel,0.9239841449110315,Four Roses Single Barrel,0.9219297752670806,Four Roses Single Barrel Private Selection OBSV,0.9171370083378605,Blanton's Original Single Barrel,0.9152382794737859,Michter's 10 Bourbon,0.9126479574144775,Booker's Bourbon,0.9111950680304692,Four Roses Small Batch Limited Edition 2013 125th Anniversary,0.9103028821507757,Old Grand Dad 114,0.9102613147520768,Old Grand Dad 100 Bottled in Bond,0.9100101456637465,Eagle Rare 10,0.9000419495701412,Orphan Barrel Barterhouse 20
Macallan 15 Fine Oak,0.9185530826119017,Balvenie 12 Doublewood,0.918027465565918,Macallan 10 Fine Oak,0.9171934454135047,Glenfiddich 15,0.9138662484565616,Glenlivet 18,0.9123015003338135,Balvenie 17 Doublewood,0.9029643468529771,Glenfarclas 17,0.9011894425825606,Aberlour 16,0.9006526230388183,Aberlour 12 Double Cask Matured,0.8964193481006844,Glenfarclas 12,0.8881076546516414,Balvenie Tun 1401 Batch #3,0.8877392890485978,Glenfiddich 18,0.8834800857217749,Glenlivet 16 Nadurra,0.8806804468904232,Macallan 18 Sherry,0.8676043990175168,Macallan 12 Sherry,0.8580526526384391,Glenfarclas 105 Cask Strength,0.8480474643208057,Aberlour 12 Non Chill Filtered,0.8456277853689006,Glenfarclas 25,0.8446466475153727,Glenmorangie Lasanta,0.8436482061109289,GlenDronach 12 Original,0.8392558733731141,Balvenie 15 Single Barrel Sherry Cask
Balvenie 12 Single Barrel First Fill,0.9205107474159375,Balvenie 15 Single Barrel,0.8863615698285241,Deanston Virgin Oak,0.878811939449287,Deanston 12,0.8726856199682044,Glenmorangie Astar,0.8560348062259343,Monkey Shoulder,0.854300485729647,BenRiach 12,0.8443501944049808,Glenfiddich 15 Distillery Edition,0.8431794192607105,Clynelish 14,0.8385925384478727,Glenlivet 16 Nadurra,0.834050611545812,Glenmorangie Ealanta,0.8271817421410796,Cragganmore 12,0.826276047164245,Glenmorangie 10 Original,0.822753987588049,Compass Box Spice Tree,0.8227223748983009,Auchentoshan 12,0.8175339634807393,Balvenie 12 Doublewood,0.8168970424188313,Aberfeldy 12,0.8151983938578025,Arran 10,0.8149439864359458,Tobermory 10,0.8148527727279973,Craigellachie 13,0.8112867206736089,Dalwhinnie 15
Highland Park 25,0.884254438616584,Highland Park 18,0.8800598422004134,Bruichladdich Black Art 2.2,0.868699758915447,Talisker 18,0.8600615511825629,Springbank 15,0.8580925281840753,Glenfarclas 105 Cask Strength,0.8527938995681117,Benromach 10 100 Proof,0.8467152099712775,Bunnahabhain 18,0.8454630614916159,Macallan 12 Sherry,0.8405400982011119,Bruichladdich Black Art 3.1,0.8402282061365642,Jura Superstition,0.8371511763301462,Bunnahabhain 12,0.8367779458067217,Highland Park 15,0.8294001710814825,Macallan Sherry Cask Strength,0.8264370418200533,Bowmore 15 Darkest,0.8243132994201651,Laphroaig Triplewood,0.8223982708942823,Aberlour 12 Double Cask Matured,0.8175591706514407,Highland Park 15 Loki,0.8144276246480553,GlenDronach 12 Original,0.8123382275361076,Aberlour 12 Non Chill Filtered,0.8114670545672895,Auchentoshan Three Wood
Compass Box Great King St. Artist's Blend,0.8719651554273657,Deanston 12,0.867816882985415,Jameson,0.8662586835129202,Glenmorangie 10 Original,0.8598088926299764,Glenlivet 16 Nadurra,0.8585779949572102,Arran 10,0.858232458343736,Compass Box Asyla,0.8555163144106877,Glenkinchie 12,0.8522395014221346,AnCnoc 12,0.8508957366202247,Dewar's 12,0.8481843361519756,Deanston Virgin Oak,0.8426997016208693,Glenlivet 12,0.8387457521274033,Johnnie Walker Gold Label,0.8381104918831586,Speyburn 10,0.8314881399283145,Macallan 10 Fine Oak,0.8268005275992624,Tobermory 10,0.8246177404984909,Compass Box Oak Cross,0.8238038859704302,Glenmorangie Astar,0.8225491273834054,Monkey Shoulder,0.8203310433836619,Glenfiddich 12,0.8200737941616079,Aberfeldy 12
Jura Superstition,0.9086581904033472,Highland Park 12,0.8891919187949711,Ardbeg Galileo,0.8884121614525207,Springbank 15,0.878870940959845,Bowmore 12,0.877323932141361,Lagavulin 16,0.8766560859240036,Bowmore 15 Darkest,0.8688365156516236,Johnnie Walker Green Label,0.8626653534312784,Kilchoman Machir Bay,0.852648897270398,Highland Park 15 Loki,0.8510856173688413,Bowmore 18,0.8472776131750573,Jura Prophecy,0.8469182111655982,Finlaggan Old Reserve,0.8462278972469263,Highland Park 18,0.8431005164231176,Compass Box Peat Monster,0.8393517289269126,Laphroaig 18,0.8371162268942198,Longrow Peated,0.8369693849502262,Bruichladdich The Laddie Ten,0.8367795292435195,Bunnahabhain 12,0.8342210725141602,Ardbeg 10,0.8333728151061213,Springbank 10
Smooth Ambler Old Scout Rye 7,0.9309543726753637,Willett Family Estate Rye 4y,0.9297585075375622,Colonel E.H. Taylor Straight Rye,0.9132231491356435,Thomas H. Handy 2014,0.8990349902966129,Smooth Ambler Old Scout Rye 8,0.8967588188569143,Thomas H. Handy 2013,0.8914686615797028,Four Roses Single Barrel Private Selection OBSQ,0.8860013038413961,Rittenhouse Rye 100,0.8851903796809462,High West Son of Bourye,0.8849166911547027,Sazerac Rye,0.8805187002731513,Russell's Reserve Single Barrel Rye,0.8774811141359369,WhistlePig 10 Straight Rye,0.8738173683634993,Bulleit Rye,0.8723956347092696,Pikesville Rye,0.8699577572948858,High West Rendezvous Rye,0.8687104769857426,Four Roses Single Barrel,0.866928080998604,Willett Family Estate Rye 2y,0.8624207682013507,High West Double Rye,0.8611970238953551,High West A Midwinter Nights Dram,0.8567108633503467,Bulleit Bourbon 10,0.8532675532387135,Bulleit Bourbon
Dewar's White Label,0.889781945125649,Johnnie Walker Red Label,0.8648626767561396,Cutty Sark,0.8613030345305459,Dewar's 12,0.8476544664540457,J&B Rare,0.8457731291963531,Chivas Regal 12,0.8274312216934162,Famous Grouse,0.8074515685344948,Pig's Nose,0.8014435231045441,Johnnie Walker Gold Label,0.7989932453097683,Johnnie Walker Black Label,0.7949535877722045,Johnnie Walker Platinum Label,0.7926865151861155,Black Bottle,0.7918419879454428,Aberfeldy 12,0.7893359512576839,Speyburn 10,0.7846419903305821,Jameson,0.7800320654720942,Compass Box Great King St. Artist's Blend,0.7789114485871268,Johnnie Walker Green Label,0.7759805379138046,Glenkinchie 12,0.771927173010565,Glenlivet 16 Nadurra,0.7707372927805543,Black Grouse,0.7686451827305318,Cardhu 12
Cardhu 12,0.8896173554038088,Glenmorangie 10 Original,0.8856985488314197,Aberfeldy 12,0.8832228408517406,Speyburn 10,0.8792812285699323,Cragganmore 12,0.8680524164782712,Dalwhinnie 15,0.8667391665140727,Tobermory 10,0.8569233247585166,Glenlivet 16 Nadurra,0.8521414982164097,Oban 14,0.8518837558550394,Glenkinchie 12,0.8510538935997816,Glenlivet 12,0.8508185652940092,AnCnoc 12,0.8500401949813219,Arran 14,0.8387863145591616,Glenfiddich 12,0.8341751811130764,Glenlivet 15 French Oak Reserve,0.8333041245961849,Monkey Shoulder,0.828096748546864,Bruichladdich The Laddie Ten,0.8194433272872019,Chivas Regal 12,0.8051655265784486,Highland Park 12,0.8001926746419337,Old Pulteney 12,0.7985419538848744,Clynelish 14
Four Roses Small Batch Limited Edition 2013 125th Anniversary,0.9246770826254845,Blanton's Straight from the Barrel,0.9207893236237308,Four Roses Single Barrel,0.9112959111336127,Four Roses Small Batch Limited Edition 2015,0.9079621637099956,Russell's Reserve Single Barrel Bourbon,0.9067918524346614,Buffalo Trace,0.9067187534415034,Four Roses Single Barrel Private Selection OBSV,0.9064655226403158,Four Roses Single Barrel Limited Edition 2014,0.9045608077082391,Wild Turkey Rare Breed,0.9036032946204369,Four Roses Small Batch Limited Edition 2014,0.9028479887635228,Elmer T. Lee,0.8958017573756598,Blanton's Original Single Barrel,0.8955512186967901,Booker's Bourbon,0.8951459363574187,Elijah Craig Barrel Proof,0.8917281472326059,Elijah Craig 12,0.8896846523408506,Colonel E.H. Taylor Barrel Proof,0.8843558744117659,Old Grand Dad 114,0.8818211327863945,1792 Ridgemont Reserve,0.8816623064805523,Colonel E.H. Taylor Small Batch,0.8813931073823158,Four Roses Single Barrel Private Selection OESK,0.8801130591549107,Orphan Barrel Barterhouse 20
Willett Family Estate Rye 4y,0.9413899302111424,Rittenhouse Rye 100,0.9367153228393863,High West Rendezvous Rye,0.9344971875625026,Smooth Ambler Old Scout Rye 7,0.927857314978396,Colonel E.H. Taylor Straight Rye,0.9277953580490242,Bulleit Rye,0.925226961471161,Wild Turkey 101 Rye,0.9206805787405985,Thomas H. Handy 2013,0.9196513364870047,High West Son of Bourye,0.9135182779332803,Sazerac Rye,0.9134919719361118,High West Double Rye,0.9119918470318762,WhistlePig 10 Straight Rye,0.9076902530144593,Bulleit Bourbon,0.9042534357691437,Four Roses Single Barrel Private Selection OBSQ,0.9019003647198747,Bulleit Bourbon 10,0.9010271807626502,Jefferson's 10 Rye Whiskey,0.8968204812362528,High West Bourye,0.895053706364656,Breckenridge Bourbon,0.8847476811805977,Lot No. 40,0.876759746412139,Four Roses Single Barrel,0.8672684409525434,Four Roses Single Barrel Private Selection OBSF
Talisker 18,0.9206175481405319,Talisker 10,0.9185834380456454,Highland Park 18,0.9171420173202698,Johnnie Walker Green Label,0.9155529626334897,Talisker 57° North,0.9136358038997292,Laphroaig 18,0.9114395715044668,Springbank 10,0.9003956334563415,Talisker Storm,0.900334116655263,Oban 14,0.8985817245566433,Highland Park 12,0.8984833221000288,Springbank 15,0.8978933404222573,Lagavulin 12,0.8946599475251729,Ardbeg Galileo,0.8943156836505498,Lagavulin 16,0.890987217560973,Talisker 25,0.8888945026373467,Ardbeg Ardbog,0.8873557708134148,Bruichladdich The Laddie Ten,0.88664570071697,Laphroaig Quarter Cask,0.8865885568397945,Caol Ila 12,0.8847150416137627,Ardbeg Corryvreckan,0.8837531037269668,Bunnahabhain 12
Black Bottle,0.9037424010659819,Johnnie Walker Black Label,0.8938105901650507,Highland Park 12,0.8890942060957148,Ardmore Traditional Cask Peated,0.8877108703413227,Caol Ila 12,0.8859648426936273,Bruichladdich The Laddie Ten,0.8795883835868833,Finlaggan Old Reserve,0.8789309600194656,BenRiach 10 Curiositas,0.8760074419228654,Springbank 10,0.8712165033427216,Johnnie Walker Green Label,0.868390458143639,Longrow Peated,0.8544812298584066,Kilchoman Machir Bay,0.8516585865593851,Ardbeg 10,0.8504389295979886,Lagavulin 12,0.8474573833136794,Laphroaig 10,0.8433129567865736,Oban 14,0.8404422240022784,Lagavulin 16,0.8396471275577237,Ardbeg Ardbog,0.8394467089183121,Benromach 10,0.8388175198933169,Laphroaig Quarter Cask,0.8367191474616198,Laphroaig 18
Compass Box Hedonism,0.8398542321476471,Compass Box Great King St. Artist's Blend,0.8020238644291697,Glenmorangie Astar,0.8004756532586923,Hibiki Japanese Harmony,0.7924046287816902,Compass Box Asyla,0.7842265669259646,Balvenie 15 Single Barrel,0.7796006434772188,Johnnie Walker Gold Label,0.7787700269293448,Balvenie 12 Single Barrel First Fill,0.7786536481733431,Chivas Regal 12,0.775181918741743,Jameson,0.7645287510934728,Compass Box Oak Cross,0.7643826960917189,Glenmorangie Ealanta,0.7559790860279133,Compass Box Spice Tree,0.7490115439205844,Nikka Whisky From The Barrel,0.7445900016875671,Nikka Coffey Grain,0.7443118384891896,Pig's Nose,0.7398014421969636,Green Spot,0.739727920461261,Balvenie 12 Doublewood,0.7378576670083894,Arran 10,0.7351781820456984,Auchentoshan Valinch,0.7350509731435122,Compass Box Enlightenment
Longrow Red 11 Fresh Port Cask,0.9259067769449919,BenRiach 17 Solstice,0.9040233017635091,Laphroaig Cairdeas 2013 Portwood,0.897076320282313,Longrow Red 12 Fresh Pinot Noir Cask,0.8765054616179904,Kilchoman Port Cask Matured,0.8567034059577018,Longrow Red 11 Australian Shiraz,0.8332977039704916,Bruichladdich Octomore 4.2_167 Comus,0.8264453296390368,Laphroaig Cairdeas 2016 Madeira,0.8182822556453353,Longrow Red 13 Malbec,0.8162541522397223,Ardbeg Galileo,0.8134064641457047,Talisker Port Ruighe,0.8060548349570611,Ardbeg Ardbog,0.8058463107082221,Longrow Red 11 Cabernet Sauvignon,0.802718800757861,Springbank 10,0.7956004126413232,Ardbeg Uigeadail,0.7945245264807939,Springbank 15,0.7939163731685086,Ardbeg Corryvreckan,0.7878819715763985,Laphroaig 18,0.7870025721874536,Bruichladdich Octomore 6.1,0.7829683555105884,Lagavulin 12,0.7807377650483276,Bruichladdich Port Charlotte Scottish Barley
Edradour 10,0.8910507389117849,Tomatin 12,0.8796207978919542,Glenfarclas 12,0.8780110530328527,Dalmore 15,0.8651084069942319,Glenfarclas 15,0.8617928003117046,Aberlour 10,0.8575817657106077,Bunnahabhain 12,0.8544648958241782,Auchentoshan Three Wood,0.8455228177004229,Cragganmore 12,0.8404021204362568,GlenDronach 12 Original,0.8396936021176566,Arran 10,0.8279029159578293,Aberlour 16,0.8218411863278029,Glenfiddich 15,0.8218208991132843,Clynelish 14,0.8212157417446394,Glenfarclas 105 Cask Strength,0.8205785701029287,Monkey Shoulder,0.8154039696709463,Dalmore 12,0.8140774185210998,Highland Park 12,0.8129849700168319,Oban 14,0.8103611276246016,Highland Park 18,0.8092743693682929,Springbank 15
Glenmorangie Ealanta,0.9273465092408402,Glenmorangie Astar,0.883593542430906,Glenfiddich 14 Rich Oak,0.8793470277192384,Balvenie 15 Single Barrel,0.8711115756733108,Auchentoshan Valinch,0.8580517391326106,Glenlivet 16 Nadurra,0.8570423309591464,Balvenie 12 Single Barrel First Fill,0.8554336845042667,Macallan 10 Fine Oak,0.8487772870997294,Deanston Virgin Oak,0.8481742014640892,Balvenie 21 Portwood,0.8418469831438705,Auchentoshan 12,0.8328878623472797,Balcones Texas Single Malt,0.8139590639875989,Glenlivet 21 Archive,0.8137358130335397,Glenlivet 15 French Oak Reserve,0.8110083518350019,Glenfiddich 18,0.8020936819711248,Booker's Bourbon,0.7909009680117283,Arran 14,0.7886946067895813,Glenmorangie 10 Original,0.7832589064145107,Glenkinchie 12,0.7794206100545881,Clynelish 14,0.7788624672699251,Glenfiddich 15
Glenmorangie 18,0.9081917207638045,Macallan 10 Fine Oak,0.8962959643911808,Glenlivet 18,0.8961905764624521,Macallan 15 Fine Oak,0.8960050676764357,Glenmorangie 10 Original,0.895410663428509,Balvenie 17 Doublewood,0.8863826221745419,Balvenie 12 Doublewood,0.8770831136051273,Arran 10,0.8736624941154146,Dalwhinnie 15,0.8678677285024523,Glenfarclas 17,0.8646505815020065,Glenfiddich 18,0.8626320498082547,Glenlivet 12,0.861118700788939,Arran 14,0.8602623575044834,Glenlivet 16 Nadurra,0.8594707383130837,Glen Garioch 12,0.8590712772250343,Glenfarclas 12,0.8557159374292921,AnCnoc 12,0.853427648651742,Clynelish 14,0.85218542231313,Glenfiddich 15,0.8339503499859874,Aberlour 12 Double Cask Matured,0.8298483114382946,GlenDronach 12 Original
Angel's Envy Rye,0.8733079561187103,Michter's Barrel Strength Rye,0.8373662794195766,Colonel E.H. Taylor Straight Rye,0.8350316208758466,High West Double Rye,0.8337336563762123,High West Rendezvous Rye,0.8311232788913105,WhistlePig 10 Straight Rye,0.8255537909054321,Willett Family Estate Rye 3y,0.8208804889348205,Crown Royal Northern Harvest Rye,0.8162780111642359,High West Bourye,0.8161049264156464,Four Roses Single Barrel,0.815740283934421,Smooth Ambler Old Scout Rye 7,0.8097901241893379,Pikesville Rye,0.8084622769278426,Thomas H. Handy 2013,0.8083195554289613,Smooth Ambler Old Scout Rye 8,0.8038726586867341,Russell's Reserve Single Barrel Rye,0.8017523918134539,Rittenhouse Rye 100,0.8004886401342104,High West Son of Bourye,0.7997226548075311,Willett Family Estate Rye 4y,0.7989961673905941,Collingwood 21,0.7986601364207684,Alberta Premium Dark Horse,0.7952071458834982,J.P. Wiser's Dissertation
Speyburn 10,0.8782030897739654,AnCnoc 12,0.8747097789738456,Aberfeldy 12,0.8530392593107585,Glenlivet 12,0.8515537452052602,Johnnie Walker Gold Label,0.8424749904766959,Johnnie Walker Green Label,0.8388892178698345,Glenmorangie 10 Original,0.8350941918630855,Dalwhinnie 15,0.8348875035208854,Highland Park 12,0.8334112602613029,Cragganmore 12,0.8321332234280662,Arran 10,0.8299623614600862,Johnnie Walker Black Label,0.8227779111849645,Bruichladdich The Laddie Ten,0.8175571093503476,Tobermory 10,0.7989883786114969,Monkey Shoulder,0.7949198820226002,Glenfiddich 12,0.7938061459777258,BenRiach 10 Curiositas,0.7857591641576132,Clynelish 14,0.7837675546147859,Oban 14,0.7830088893805314,Black Bottle,0.7825539113677142,Longrow Peated
Scapa 16,0.8918430196425611,Aberfeldy 12,0.8808488660339648,Cragganmore 12,0.8647883790044686,Bruichladdich The Laddie Ten,0.8635928781602756,Arran 14,0.863485445976378,Balvenie 15 Single Barrel,0.8616394917189167,Monkey Shoulder,0.8603661977537869,Tobermory 10,0.8599494319303468,Oban 14,0.8537376328048569,Clynelish 14,0.834938603897964,Glenkinchie 12,0.8339912818086179,Arran 10,0.8333908415708112,Glenlivet 12,0.8328490533466034,Glenlivet 15 French Oak Reserve,0.8322417709400429,Glenlivet 16 Nadurra,0.8279410412990571,Dalwhinnie 15,0.826482673059903,Glenlivet 18,0.8254009213416276,Springbank 10,0.8181463467449399,Johnnie Walker Green Label,0.8178029606553268,Glenmorangie 10 Original,0.8143067041137532,Bunnahabhain 12
Bruichladdich Black Art 2.2,0.8911286687873463,Macallan 12 Sherry,0.8782155861885592,Highland Park 25,0.8773022535019738,Macallan 18 Sherry,0.8580309647156263,Glenfarclas 12,0.8512560066989477,Macallan Sherry Cask Strength,0.8485503017606996,Springbank 12 Cask Strength,0.8362589119430042,Tobermory 15,0.8301719311064569,Aberlour A'bunadh batch #45,0.8241686263516336,Aberlour 12 Non Chill Filtered,0.8236242934467057,Aberlour 12 Double Cask Matured,0.8231928214163781,Balvenie 15 Single Barrel Sherry Cask,0.8227567250626899,Glenmorangie Lasanta,0.8220551832368986,Tomatin 12,0.8184308302974534,GlenDronach 15 Revival,0.8159231054696972,Benrinnes 23,0.8156611127318475,Bunnahabhain 12,0.8124819639083964,Glenfarclas 17,0.8095946529552107,Aberlour A'bunadh batch #39,0.8056969643010707,Aberlour 10,0.8052050360631939,Benrinnes 14 1999 Lady of the Glen
Bruichladdich Black Art 3.1,0.8860505416535043,GlenDronach 15 Revival,0.8827566805882621,Bruichladdich Black Art 4.1,0.8671583990917411,GlenDronach 21 Parliament,0.8655429248369435,Macallan Sherry Cask Strength,0.858183470854656,Kavalan Solist Sherry,0.8554103525497267,Highland Park 25,0.8529833269653999,Dalmore 1263 King Alexander III,0.8506373914309289,Glengoyne 21,0.8462847152104122,Benrinnes 23,0.8462507780343518,Glenfarclas 105 Cask Strength,0.8455543266293153,Glenfarclas 15,0.8452656704079853,Aberlour A'bunadh batch #47,0.8329491746497877,Glenfarclas 25,0.8286296368784227,Bruichladdich Black Art 2.2,0.8277128190787978,Aberlour 12 Non Chill Filtered,0.8179488754292614,Glenfarclas 21,0.8167489881048331,Arran Amarone Cask Finish,0.8143622855552429,Highland Park Dark Origins,0.8128749565969722,Springbank 12 Cask Strength,0.8108831642718681,GlenDronach 12 Original
Pikesville Rye,0.9439361021281165,Colonel E.H. Taylor Straight Rye,0.9299295988448415,Rittenhouse Rye 100,0.9259395837612291,Michter's Barrel Strength Rye,0.9193780358300243,Russell's Reserve Single Barrel Rye,0.9151513227987014,WhistlePig 10 Straight Rye,0.9142099787164699,High West Bourye,0.9137269470550085,Sazerac Rye,0.9119655106980157,High West Rendezvous Rye,0.9114021689016576,Thomas H. Handy 2014,0.9092304956590207,Willett Family Estate Rye 3y,0.9065577980278497,Thomas H. Handy 2013,0.887904338093398,Wild Turkey 101 Rye,0.8807824772022241,Four Roses Single Barrel Private Selection OBSQ,0.8765121762890131,High West Double Rye,0.8757498298870312,Smooth Ambler Old Scout Rye 7,0.8735194221441427,Four Roses Single Barrel,0.8703803455973436,Old Grand Dad 114,0.8699173759484287,Bulleit Rye,0.8643673145478924,Old Grand Dad 100 Bottled in Bond,0.8622834674457239,Wild Turkey 101
Michter's 10 Bourbon,0.9380332151889328,Blanton's Straight from the Barrel,0.936855322648624,Elmer T. Lee,0.9229066745085437,Colonel E.H. Taylor Barrel Proof,0.9220588534133048,Russell's Reserve Single Barrel Bourbon,0.9161536353604894,Henry McKenna 10 Single Barrel,0.9160619410658771,Colonel E.H. Taylor Single Barrel,0.9149822869320726,Colonel E.H. Taylor Small Batch,0.9115773540210165,Orphan Barrel Barterhouse 20,0.9078766073830886,Old Rip Van Winkle 10,0.9063659213080674,Eagle Rare 10,0.9032430628256607,Old Forester 1920,0.9024712252237489,Elijah Craig Barrel Proof,0.8991564595555868,Rebel Yell 10 Single Barrel,0.8962316415367534,Pappy Van Winkle Family Reserve Bourbon 20,0.8959444830369381,Evan Williams White Label Bottled in Bond,0.8932398135630712,Heaven Hill 6 Bottled in Bond,0.8918623695890118,Wild Turkey Rare Breed,0.8897203528509883,Elijah Craig 18,0.8895039070490238,Parker's Heritage Collection 6th: Blend of Mashbills,0.8865368472688171,Old Grand Dad 114
Kilkerran 12,0.8546210048634515,Springbank 10,0.8281788110467567,Tobermory 10,0.8261788681008798,Oban 14,0.8205952976971334,Clynelish 14,0.8052122554264964,Benromach 10,0.7980183768433584,Benromach 10 100 Proof,0.7934128837653981,Mackinlay's Shackleton Rare Old Highland Malt Whisky,0.7898128183030606,Bruichladdich Port Charlotte Scottish Barley,0.7874254351606813,Lagavulin 8,0.7831407391372214,Bunnahabhain 12,0.7817427832293161,Arran 10,0.779753437089251,Bunnahabhain 18,0.779732916048169,Kilchoman Sanaig,0.7786503155342241,Highland Park 12,0.7777750572689579,Highland Park 15,0.7715615432805709,Arran 14,0.7715167650169921,Springbank 15,0.7714586566046324,Talisker 18,0.7713081630416373,Johnnie Walker Green Label,0.7700307729709444,Ledaig 10
