whiskey,reviews,average,std_dev,type,brand,dist,owner,lat,lng,zoom
Pappy Van Winkle Family Reserve Bourbon 15,25,87.12,17.62,Bourbon,Van Winkle,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Pappy Van Winkle Family Reserve Bourbon 20,14,90.29,5.2,Bourbon,Van Winkle,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Pappy Van Winkle Family Reserve Bourbon 23,10,88.0,4.9,Bourbon,Van Winkle,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Parker's Heritage Collection 6th: Blend of Mashbills,11,87.91,8.65,Bourbon,Parker's Heritage,Heaven Hill,Heaven Hill,37.794984,-85.463799,17
Parker's Heritage Collection 7th: Promise of Hope,13,87.54,4.48,Bourbon,Parker's Heritage,Heaven Hill,Heaven Hill,37.794984,-85.463799,17
Parker's Heritage Collection 8th: Wheat Whiskey,19,86.42,10.13,Other,Parker's Heritage,Heaven Hill,Heaven Hill,37.794984,-85.463799,17
Parker's Heritage Collection 9th: Malt Whiskey,8,83.12,8.1,American Whiskey,Parker's Heritage,Heaven Hill,Heaven Hill,37.794984,-85.463799,17
Pig's Nose,19,76.37,8.83,Scotch (Blend),Pig's Nose,Blended (Scotch),Ian Macleod,56.745487,-4.242247,7
Pikesville Rye,26,83.31,5.32,Rye,Pikesville,Heaven Hill,Heaven Hill,37.794984,-85.463799,17
Port Ellen 32 12th Release,11,89.82,4.07,Scotch (Islay),Port Ellen,Port Ellen,Diageo,55.633931,-6.19696,17
Rebel Yell 10 Single Barrel,19,82.89,4.28,Bourbon,Rebel Yell,Luxco,Luxco,37.810415,-85.428056,17
Redbreast 12,28,82.32,6.77,Irish Whiskey,Redbreast,Midleton,Pernod Ricard,51.916295,-8.165147,17
Redbreast 12 Cask Strength,18,86.06,5.54,Irish Whiskey,Redbreast,Midleton,Pernod Ricard,51.916295,-8.165147,17
Redbreast 15,18,85.56,5.65,Irish Whiskey,Redbreast,Midleton,Pernod Ricard,51.916295,-8.165147,17
Redbreast 21,11,87.55,5.99,Irish Whiskey,Redbreast,Midleton,Pernod Ricard,51.916295,-8.165147,17
Redbreast Lustau Edition,14,79.5,5.98,Irish Whiskey,Redbreast,Midleton,Pernod Ricard,51.916295,-8.165147,17
Rittenhouse Rye 100,62,83.44,6.37,Rye,Rittenhouse,Heaven Hill,Heaven Hill,37.794984,-85.463799,17
Rock Hill Farms Single Barrel Bourbon,13,85.77,6.81,Bourbon,Rock Hill,Buffalo Trace,Sazerac,38.216776,-84.870889,17
Rowan's Creek,13,81.69,6.12,Bourbon,Rowan's Creek,Willett,Willett,37.78489,-85.461244,17
Royal Lochnagar 12,11,79.09,4.5,Scotch (Highlands),Royal Lochnagar,Royal Lochnagar,Diageo,57.029992,-3.209176,17
Russell's Reserve 10,23,81.04,6.51,Bourbon,Russell's Reserve,Wild Turkey,Campari,38.043561,-84.853022,17
Russell's Reserve Single Barrel Bourbon,42,84.83,6.01,Bourbon,Russell's Reserve,Wild Turkey,Campari,38.043561,-84.853022,17
Russell's Reserve Single Barrel Rye,14,82.86,6.14,Rye,Russell's Reserve,Wild Turkey,Campari,38.043561,-84.853022,17
Sazerac Rye,45,81.31,8.07,Rye,Sazerac,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Scapa 16,26,81.88,5.91,Scotch (Islands),Scapa,Scapa,Pernod Ricard,58.96353,-2.98538,17
Sheep Dip,13,78.23,9.74,Scotch (Blend),Sheep Dip,Blended (Scotch),Ian Macleod,56.745487,-4.242247,7
Singleton of Glendullan 12,11,76.64,6.74,Scotch (Speyside),The Singleton,Glendullan,Diageo,57.448075,-3.118377,17
Smokehead,11,78.27,6.26,Scotch (Islay),Smokehead,Blended (Scotch),Ian Macleod,56.745487,-4.242247,7
Smooth Ambler Old Scout Bourbon 10,19,83.53,4.23,Bourbon,Smooth Ambler,Sourced (Bourbon),Pernod Ricard,37.468601,-85.018563,7
Smooth Ambler Old Scout Bourbon 7,13,82.0,5.1,Bourbon,Smooth Ambler,Sourced (Bourbon),Pernod Ricard,37.468601,-85.018563,7
Smooth Ambler Old Scout Rye 7,23,86.22,4.87,Rye,Smooth Ambler,Sourced (Bourbon),Pernod Ricard,37.468601,-85.018563,7
Smooth Ambler Old Scout Rye 8,11,88.55,4.76,Rye,Smooth Ambler,Sourced (Bourbon),Pernod Ricard,37.468601,-85.018563,7
Speyburn 10,23,78.22,6.45,Scotch (Speyside),Speyburn,Speyburn,Inver House,57.536456,-3.215464,17
Springbank 10,79,84.71,5.57,Scotch (Campbeltown),Springbank,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Springbank 10 100 Proof,11,89.09,5.74,Scotch (Campbeltown),Springbank,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Springbank 12 Burgundy,15,85.4,3.74,Scotch (Campbeltown),Springbank,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Springbank 12 Cask Strength,28,84.64,7.72,Scotch (Campbeltown),Springbank,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Springbank 12 Cask Strength Batch 7,11,89.36,2.11,Scotch (Campbeltown),Springbank,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Springbank 15,48,86.94,4.27,Scotch (Campbeltown),Springbank,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Springbank 16 Local Barley,10,86.3,3.71,Scotch (Campbeltown),Springbank,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Springbank 17 Sherry Wood,11,82.91,11.27,Scotch (Campbeltown),Springbank,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Springbank 18,22,86.77,7.17,Scotch (Campbeltown),Springbank,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Springbank 21,13,90.54,4.2,Scotch (Campbeltown),Springbank,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Stagg Jr.,41,87.0,4.41,Bourbon,Stagg Jr.,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Stagg Jr. Batch #9,8,88.5,1.77,Bourbon,Stagg Jr.,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Stranahan's Colorado Whiskey,11,82.45,4.8,American Whiskey,Stranahan's,Stranahan's,Proximo,39.712477,-104.998634,17
Talisker 10,147,85.93,6.59,Scotch (Islands),Talisker,Talisker,Diageo,57.302435,-6.356502,17
Talisker 175th Anniversary,9,86.22,3.67,Scotch (Islands),Talisker,Talisker,Diageo,57.302435,-6.356502,17
Talisker 18,37,86.92,6.02,Scotch (Islands),Talisker,Talisker,Diageo,57.302435,-6.356502,17
Talisker 25,17,88.94,5.4,Scotch (Islands),Talisker,Talisker,Diageo,57.302435,-6.356502,17
Talisker 57° North,38,86.87,6.1,Scotch (Islands),Talisker,Talisker,Diageo,57.302435,-6.356502,17
Talisker Distiller's Edition 2012,11,89.36,3.75,Scotch (Islands),Talisker,Talisker,Diageo,57.302435,-6.356502,17
Talisker Port Ruighe,17,83.0,6.2,Scotch (Islands),Talisker,Talisker,Diageo,57.302435,-6.356502,17
Talisker Storm,44,83.39,5.44,Scotch (Islands),Talisker,Talisker,Diageo,57.302435,-6.356502,17
Tamdhu 10,8,81.12,4.67,Scotch (Speyside),Tamdhu,Tamdhu,Ian Macleod,57.459242,-3.352594,17
Tamdhu 8 Signatory Cask Strength,12,90.33,4.1,Scotch (Speyside),Tamdhu,Tamdhu,Ian Macleod,57.459242,-3.352594,17
Teeling Small Batch,17,80.18,6.7,Irish Whiskey,Teeling,Teeling,Teeling,53.337738,-6.277229,17
Thomas H. Handy 2013,21,90.24,7.48,Rye,Thomas H. Handy,Buffalo Trace,Sazerac,38.216776,-84.870889,17
Thomas H. Handy 2014,12,87.58,8.68,Rye,Thomas H. Handy,Buffalo Trace,Sazerac,38.216776,-84.870889,17
Thomas H. Handy 2016,12,89.67,3.75,Rye,Thomas H. Handy,Buffalo Trace,Sazerac,38.216776,-84.870889,17
Tobermory 10,37,80.97,7.65,Scotch (Islands),Tobermory,Tobermory,Distell Group,56.620789,-6.069983,17
Tobermory 15,21,88.1,6.13,Scotch (Islands),Tobermory,Tobermory,Distell Group,56.620789,-6.069983,17
Tomatin 12,36,75.47,8.34,Scotch (Highlands),Tomatin,Tomatin,Takara Shuzo,57.339181,-4.009741,17
Tomatin 14 Portwood,10,83.2,8.52,Scotch (Highlands),Tomatin,Tomatin,Takara Shuzo,57.339181,-4.009741,17
Tomatin 18,26,83.96,5.93,Scotch (Highlands),Tomatin,Tomatin,Takara Shuzo,57.339181,-4.009741,17
Tomintoul 16,12,77.83,7.0,Scotch (Speyside),Tomintoul,Tomintoul,Angus Dundee,57.311696,-3.414987,17
Té Bheag,13,82.46,3.53,Scotch (Blend),Té Bheag,Blended (Scotch),Praban na Linne,56.745487,-4.242247,7
Van Winkle Family Reserve Rye 13,9,89.78,4.47,Rye,Van Winkle,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Van Winkle Special Reserve 12 Lot B,23,85.65,7.23,Bourbon,Van Winkle,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Very Old Barton Bottled In Bond,11,82.45,4.32,Bourbon,Very Old Barton,Barton 1792,Sazerac,37.804914,-85.477748,17
W.L. Weller 12,70,86.67,6.67,Bourbon,W.L. Weller,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
W.L. Weller Special Reserve,41,77.73,11.28,Bourbon,W.L. Weller,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Westland Sherry Wood,13,81.54,5.43,American Whiskey,Westland,Westland,Westland,47.576628,-122.334638,17
WhistlePig 10 Straight Rye,23,86.43,4.13,Rye,WhistlePig,Sourced (Rye),WhistlePig,37.468601,-85.018563,7
Wild Turkey 101,88,82.95,7.86,Bourbon,Wild Turkey,Wild Turkey,Campari,38.043561,-84.853022,17
Wild Turkey 101 Rye,22,82.27,6.92,Rye,Wild Turkey,Wild Turkey,Campari,38.043561,-84.853022,17
Wild Turkey 81,12,74.0,10.32,Bourbon,Wild Turkey,Wild Turkey,Campari,38.043561,-84.853022,17
Wild Turkey Decades,11,88.91,2.84,Bourbon,Wild Turkey,Wild Turkey,Campari,38.043561,-84.853022,17
Wild Turkey Forgiven,10,78.9,8.67,American Whiskey,Wild Turkey,Wild Turkey,Campari,38.043561,-84.853022,17
Wild Turkey Kentucky Spirit,18,79.94,10.86,Bourbon,Wild Turkey,Wild Turkey,Campari,38.043561,-84.853022,17
Wild Turkey Rare Breed,49,85.1,7.91,Bourbon,Wild Turkey,Wild Turkey,Campari,38.043561,-84.853022,17
Willett Family Estate Rye 2y,17,82.47,5.85,Rye,Willett,Willett,Willett,37.78489,-85.461244,17
Willett Family Estate Rye 3y,14,80.29,7.63,Rye,Willett,Willett,Willett,37.78489,-85.461244,17
Willett Family Estate Rye 4y,29,88.45,3.08,Rye,Willett,Willett,Willett,37.78489,-85.461244,17
William Larue Weller 2013,11,93.45,3.96,Bourbon,William Larue Weller,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
William Larue Weller 2016,12,86.96,8.87,Bourbon,William Larue Weller,Buffalo Trace,Sazerac Company,38.216776,-84.870889,17
Woodford Reserve Distiller's Select,46,80.22,6.48,Bourbon,Woodford Reserve,Woodford Reserve,Brown-Forman,38.112949,-84.81266,17
Woodford Reserve Double Oaked,19,82.16,6.57,Bourbon,Woodford Reserve,Woodford Reserve,Brown-Forman,38.112949,-84.81266,17
Yamazaki 12,50,82.0,6.31,Japan,Yamazaki,Yamazaki,Beam Suntory,34.892408,135.674404,17
Yamazaki 18,8,87.25,6.02,Japan,Yamazaki,Yamazaki,Beam Suntory,34.892408,135.674404,17
Yellow Spot,14,85.86,4.17,Irish Whiskey,Yellow Spot,Midleton,Pernod Ricard,51.916295,-8.165147,17
