whiskey,reviews,average,std_dev,type,brand,dist,owner,lat,lng,zoom
Glenlivet 21 Archive,21,86.95,6.58,Scotch (Speyside),Glenlivet,Glenlivet,Pernod Ricard,57.343468,-3.338513,17
Glenlivet 25,13,88.77,6.42,Scotch (Speyside),Glenlivet,Glenlivet,Pernod Ricard,57.343468,-3.338513,17
Glenlivet Nadurra Oloroso,17,82.71,6.5,Scotch (Speyside),Glenlivet,Glenlivet,Pernod Ricard,57.343468,-3.338513,17
Glenmorangie 10 Original,123,80.5,6.58,Scotch (Highlands),Glenmorangie,Glenmorangie,LVMH,57.826506,-4.077567,17
Glenmorangie 12 Quinta Ruban,124,83.98,5.77,Scotch (Highlands),Glenmorangie,Glenmorangie,LVMH,57.826506,-4.077567,17
Glenmorangie 18,29,85.83,5.16,Scotch (Highlands),Glenmorangie,Glenmorangie,LVMH,57.826506,-4.077567,17
Glenmorangie Artein,17,88.35,7.36,Scotch (Highlands),Glenmorangie,Glenmorangie,LVMH,57.826506,-4.077567,17
Glenmorangie Astar,34,86.71,6.2,Scotch (Highlands),Glenmorangie,Glenmorangie,LVMH,57.826506,-4.077567,17
Glenmorangie Ealanta,28,88.61,4.76,Scotch (Highlands),Glenmorangie,Glenmorangie,LVMH,57.826506,-4.077567,17
Glenmorangie Lasanta,70,77.89,7.2,Scotch (Highlands),Glenmorangie,Glenmorangie,LVMH,57.826506,-4.077567,17
Glenmorangie Nectar D'Or 12,75,82.57,6.63,Scotch (Highlands),Glenmorangie,Glenmorangie,LVMH,57.826506,-4.077567,17
Glenmorangie Signet,25,86.8,5.03,Scotch (Highlands),Glenmorangie,Glenmorangie,LVMH,57.826506,-4.077567,17
Glenrothes Select Reserve,13,70.31,8.48,Scotch (Speyside),Glenrothes,Glenrothes,Edrington,57.526843,-3.216361,17
Green Spot,25,79.08,5.48,Irish Whiskey,Green Spot,Midleton,Pernod Ricard,51.916295,-8.165147,17
Hakushu 12,23,84.26,6.34,Japan,Hakushu,Hakushu,Beam Suntory,35.825683,138.301266,17
Hazelburn 10,11,82.45,5.57,Scotch (Campbeltown),Hazelburn,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Heaven Hill 6 Bottled in Bond,25,81.2,5.96,Bourbon,Heaven Hill,Heaven Hill,Heaven Hill,37.794984,-85.463799,17
Henry McKenna 10 Single Barrel,56,83.41,8.43,Bourbon,Henry McKenna,Heaven Hill,Heaven Hill,37.794984,-85.463799,17
Hibiki 12,17,78.71,11.36,Japan,Hibiki,Blended (Japanese),Beam Suntory,36.587308,138.353193,6
Hibiki 17,15,86.2,4.96,Japan,Hibiki,Blended (Japanese),Beam Suntory,36.587308,138.353193,6
Hibiki Japanese Harmony,16,78.12,8.29,Japan,Hibiki,Blended (Japanese),Beam Suntory,36.587308,138.353193,6
High West A Midwinter Nights Dram,25,92.64,3.72,Rye,High West,High West,Constellation Brands,40.808274,-111.444556,17
High West Bourye,21,85.86,4.35,American Whiskey,High West,High West,Constellation Brands,40.808274,-111.444556,17
