whiskey,Reco_1,Reco_2,Reco_3,Reco_4,Reco_5,Reco_6,Reco_7,Reco_8,Reco_9,Reco_10,Reco_11,Reco_12,Reco_13,Reco_14,Reco_15,Reco_16,Reco_17,Reco_18,Reco_19,Reco_20,Reco_21,Reco_22,Reco_23,Reco_24,Reco_25,Reco_26,Reco_27,Reco_28,Reco_29,Reco_30,Reco_31,Reco_32,Reco_33,Reco_34,Reco_35,Reco_36,Reco_37,Reco_38,Reco_39,Reco_40,Reco_41,Reco_42,Reco_43,Reco_44,Reco_45,Reco_46,Reco_47,Reco_48,Reco_49,Reco_50,TF_Similarity_1,TF_Similarity_2,TF_Similarity_3,TF_Similarity_4,TF_Similarity_5,TF_Similarity_6,TF_Similarity_7,TF_Similarity_8,TF_Similarity_9,TF_Similarity_10,TF_Similarity_11,TF_Similarity_12,TF_Similarity_13,TF_Similarity_14,TF_Similarity_15,TF_Similarity_16,TF_Similarity_17,TF_Similarity_18,TF_Similarity_19,TF_Similarity_20,TF_Similarity_21,TF_Similarity_22,TF_Similarity_23,TF_Similarity_24,TF_Similarity_25,TF_Similarity_26,TF_Similarity_27,TF_Similarity_28,TF_Similarity_29,TF_Similarity_30,TF_Similarity_31,TF_Similarity_32,TF_Similarity_33,TF_Similarity_34,TF_Similarity_35,TF_Similarity_36,TF_Similarity_37,TF_Similarity_38,TF_Similarity_39,TF_Similarity_40,TF_Similarity_41,TF_Similarity_42,TF_Similarity_43,TF_Similarity_44,TF_Similarity_45,TF_Similarity_46,TF_Similarity_47,TF_Similarity_48,TF_Similarity_49,TF_Similarity_50
Glenfarclas 21,Glenfarclas 12,Glenfarclas 17,Glenfarclas 105 Cask Strength,Aberlour 12 Non Chill Filtered,GlenDronach 12 Original,GlenDronach 15 Revival,Glenmorangie Lasanta,Macallan 12 Sherry,Glenfarclas 25,Aberlour 12 Double Cask Matured,Balvenie 12 Doublewood,Macallan Sherry Cask Strength,Bunnahabhain 12,Aberlour 10,Glenfarclas 15,Benrinnes 23,GlenDronach 21 Parliament,BenRiach 12 Sherry Matured,Auchentoshan Three Wood,Aberlour A'bunadh batch #45,Glenfiddich 18,Aberlour A'bunadh batch #47,Bunnahabhain 18,Balvenie 17 Doublewood,Glenfiddich 15,Glengoyne 21,Kavalan Solist Sherry,Balvenie 15 Single Barrel Sherry Cask,Tomatin 12,Tobermory 15,Aberlour 16,Bruichladdich Black Art 2.2,Benromach 10,Glenfarclas 40,Glengoyne 25,Highland Park 18,Springbank 12 Cask Strength,Glenlivet 18,Springbank 15,Bruichladdich Black Art 3.1,Bowmore 15 Laimrig,Dalmore 15,Glenfarclas 10,Highland Park 25,Dalmore 12,Aberlour 18,Macallan Edition No. 2,Highland Park Dark Origins,Oban 14,Balblair 1990 2nd Release,0.543,0.5257,0.5056,0.4916,0.4897,0.4851,0.4789,0.4621,0.462,0.4579,0.4507,0.444,0.438,0.4376,0.4309,0.4254,0.4241,0.4195,0.4194,0.4176,0.4152,0.4142,0.4142,0.4086,0.4079,0.3958,0.3947,0.3898,0.3891,0.3877,0.3867,0.386,0.3855,0.3814,0.3795,0.3778,0.3771,0.3755,0.3711,0.3688,0.3647,0.3639,0.3615,0.3596,0.3576,0.3555,0.3551,0.3474,0.346,0.3453
Bulleit Bourbon 10,Four Roses Single Barrel,Four Roses Small Batch,Bulleit Bourbon,Rittenhouse Rye 100,Bulleit Rye,Willett Family Estate Rye 4y,Colonel E.H. Taylor Straight Rye,Four Roses Single Barrel Private Selection OBSQ,High West Bourye,WhistlePig 10 Straight Rye,Pikesville Rye,High West Rendezvous Rye,High West Double Rye,Michter's Barrel Strength Rye,Michter's 10 Rye,Smooth Ambler Old Scout Rye 7,Sazerac Rye,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Four Roses Single Barrel Private Selection OESK,Jefferson's 10 Rye Whiskey,Thomas H. Handy 2013,Russell's Reserve Single Barrel Rye,Elmer T. Lee,High West Son of Bourye,Four Roses Small Batch Limited Edition 2014,Four Roses Yellow Label,Colonel E.H. Taylor Small Batch,Blanton's Straight from the Barrel,Russell's Reserve Single Barrel Bourbon,Old Grand Dad 100 Bottled in Bond,Wild Turkey 101,Old Grand Dad 114,Buffalo Trace,Four Roses Small Batch Limited Edition 2015,Willett Family Estate Rye 3y,Blanton's Original Single Barrel,Four Roses Single Barrel Private Selection OBSF,High West Campfire,Angel's Envy Rye,Four Roses Single Barrel Private Selection OBSK,Basil Hayden's,Four Roses Single Barrel Private Selection OESF,Thomas H. Handy 2014,Booker's Rye,Breckenridge Bourbon,Woodford Reserve Distiller's Select,Wild Turkey Forgiven,J.P. Wiser's Dissertation,Four Roses Single Barrel Limited Edition 2014,Elijah Craig Barrel Proof,0.6622,0.6349,0.612,0.5621,0.5545,0.5403,0.5392,0.5389,0.5371,0.5218,0.5183,0.5107,0.5053,0.4984,0.4983,0.4931,0.4911,0.4823,0.4802,0.4761,0.4699,0.4539,0.4537,0.4533,0.4526,0.4524,0.4519,0.4456,0.4437,0.4421,0.4412,0.4408,0.4394,0.4382,0.4375,0.4349,0.4325,0.4278,0.4277,0.4271,0.4247,0.4169,0.4119,0.4019,0.3954,0.3946,0.3881,0.3861,0.3851,0.3799
Bruichladdich Rocks,Bruichladdich The Laddie Ten,Bunnahabhain 12,Oban 14,Highland Park 12,Laphroaig 10,Laphroaig Quarter Cask,Lagavulin 16,Talisker 10,Springbank 10,Ardbeg 10,Ardbeg Uigeadail,Caol Ila 12,Kilchoman Machir Bay,Johnnie Walker Green Label,Laphroaig 18,Clynelish 14,Ardbeg Corryvreckan,Ledaig 10,Lagavulin 12,Laphroaig 15,Ardbeg Galileo,Johnnie Walker Black Label,Benromach 10,Finlaggan Old Reserve,Bruichladdich Octomore 6.1,Old Pulteney 12,Ardmore Traditional Cask Peated,Laphroaig 10 Cask Strength,Laphroaig Triplewood,Bruichladdich Port Charlotte Scottish Barley,Longrow Peated,Highland Park 18,Ardbeg Ardbog,Talisker 57° North,Laphroaig Cairdeas 2015,Jura Superstition,Springbank 15,BenRiach 10 Curiositas,Amrut Fusion,Springbank 18,Bowmore 12,Black Bottle,Talisker 18,Talisker Storm,Bunnahabhain Toiteach,Connemara Peated,Bruichladdich Port Charlotte 10,Lagavulin 8,Compass Box Peat Monster,Laphroaig Cairdeas 2014 Amontillado,0.4816,0.4452,0.4395,0.435,0.4227,0.4187,0.4147,0.413,0.4108,0.4068,0.4039,0.3964,0.3911,0.3907,0.3869,0.3863,0.3827,0.3797,0.3791,0.3761,0.3736,0.3656,0.3612,0.359,0.3587,0.3577,0.3565,0.3536,0.3506,0.3505,0.3501,0.3498,0.3483,0.3479,0.3427,0.3422,0.3376,0.3338,0.3316,0.3275,0.3244,0.3226,0.3224,0.3192,0.3143,0.312,0.3119,0.3119,0.3111,0.3079
Van Winkle Special Reserve 12 Lot B,W.L. Weller 12,Old Weller Antique 107,Old Rip Van Winkle 10,W.L. Weller Special Reserve,William Larue Weller 2016,1792 Sweet Wheat,Pappy Van Winkle Family Reserve Bourbon 23,Elmer T. Lee,Wild Turkey Rare Breed,Elijah Craig 18,Pappy Van Winkle Family Reserve Bourbon 20,Orphan Barrel Barterhouse 20,Pappy Van Winkle Family Reserve Bourbon 15,Henry McKenna 10 Single Barrel,Colonel E.H. Taylor Small Batch,Colonel E.H. Taylor Barrel Proof,Maker's Mark,Buffalo Trace,Elijah Craig 12,Eagle Rare 10,Rebel Yell 10 Single Barrel,Woodford Reserve Distiller's Select,Maker's Mark Cask Strength,George T. Stagg 2013,Blanton's Original Single Barrel,Parker's Heritage Collection 9th: Malt Whiskey,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Wild Turkey 101,Four Roses Single Barrel Private Selection OBSF,Michter's 10 Bourbon,William Larue Weller 2013,Stagg Jr.,Bulleit Bourbon,Russell's Reserve Single Barrel Bourbon,Blanton's Straight from the Barrel,Elijah Craig Barrel Proof,Glenlivet 16 Nadurra,Balvenie 21 Portwood,Four Roses Single Barrel,Evan Williams Single Barrel 2003,Glenlivet 15 French Oak Reserve,Nikka Taketsuru 21,Balvenie 15 Single Barrel,Old Ezra 101,Booker's Bourbon,Glenmorangie 10 Original,Glenfiddich 18,Four Roses Small Batch,Westland Sherry Wood,Balvenie 12 Doublewood,0.5491,0.5451,0.5229,0.5171,0.4435,0.3639,0.3459,0.3312,0.3156,0.3117,0.3047,0.3024,0.2957,0.2948,0.2775,0.2694,0.2626,0.2581,0.2504,0.2502,0.2487,0.2486,0.2421,0.2399,0.238,0.237,0.2328,0.2297,0.2273,0.2269,0.2266,0.2263,0.2263,0.2206,0.2194,0.2154,0.2145,0.2119,0.2112,0.2102,0.2074,0.2055,0.2053,0.2046,0.2042,0.2012,0.1958,0.1948,0.1932,0.1912
Woodford Reserve Double Oaked,Colonel E.H. Taylor Small Batch,Woodford Reserve Distiller's Select,Bulleit Bourbon,Elmer T. Lee,Buffalo Trace,Wild Turkey 101,Booker's Bourbon,Henry McKenna 10 Single Barrel,Blanton's Original Single Barrel,Elijah Craig 12,Wild Turkey Rare Breed,Orphan Barrel Barterhouse 20,Old Grand Dad 114,Eagle Rare 10,W.L. Weller 12,Blanton's Straight from the Barrel,Old Grand Dad 100 Bottled in Bond,Elijah Craig Barrel Proof,Russell's Reserve Single Barrel Bourbon,Noah's Mill,Michter's 10 Bourbon,Evan Williams White Label Bottled in Bond,Rowan's Creek,Glenlivet 16 Nadurra,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Four Roses Single Barrel,Stagg Jr.,Four Roses Small Batch,Glenmorangie 10 Original,Colonel E.H. Taylor Barrel Proof,Glenfiddich 15,Black Maple Hill,Evan Williams Black Label,Old Forester 1920,Old Forester 86,George T. Stagg 2013,Jack Daniel's Old No. 7,Parker's Heritage Collection 7th: Promise of Hope,Old Ezra 101,Rebel Yell 10 Single Barrel,Old Weller Antique 107,Basil Hayden's,Balvenie 15 Single Barrel,Auchentoshan Three Wood,Glenmorangie Astar,1792 Ridgemont Reserve,Glenlivet 15 French Oak Reserve,Four Roses Yellow Label,Balvenie 12 Doublewood,George T. Stagg 2012,0.3621,0.3475,0.3314,0.3278,0.3268,0.3224,0.3204,0.3148,0.3136,0.3134,0.3079,0.304,0.3032,0.2956,0.2876,0.2845,0.2818,0.2809,0.2789,0.2762,0.2721,0.2714,0.2678,0.2657,0.2644,0.259,0.2552,0.2547,0.2542,0.2519,0.2497,0.2483,0.2477,0.247,0.2458,0.2449,0.2423,0.2412,0.2406,0.2405,0.2376,0.2373,0.2307,0.2282,0.2264,0.226,0.2254,0.2249,0.2236,0.2225
1792 Sweet Wheat,Maker's Mark,Maker's Mark Cask Strength,Maker's Mark 46,Old Weller Antique 107,W.L. Weller Special Reserve,W.L. Weller 12,Van Winkle Special Reserve 12 Lot B,Old Rip Van Winkle 10,Rebel Yell 10 Single Barrel,Elmer T. Lee,Larceny Small Batch Bourbon,William Larue Weller 2013,William Larue Weller 2016,Pappy Van Winkle Family Reserve Bourbon 23,Colonel E.H. Taylor Small Batch,Buffalo Trace,Wild Turkey Rare Breed,Orphan Barrel Barterhouse 20,Bulleit Bourbon,Blanton's Straight from the Barrel,Elijah Craig 12,Rowan's Creek,Glenlivet 16 Nadurra,Wild Turkey 101,Blanton's Original Single Barrel,Stagg Jr.,Bernheim Original Small Batch Wheat Whiskey,Evan Williams Black Label,Old Ezra 101,Henry McKenna 10 Single Barrel,Woodford Reserve Distiller's Select,Booker's Bourbon,Black Maple Hill,Four Roses Single Barrel,Four Roses Small Batch,Old Grand Dad 114,Russell's Reserve Single Barrel Bourbon,Old Forester 1920,Wild Turkey 81,Glenmorangie Astar,Eagle Rare 10,Noah's Mill,Balvenie 15 Single Barrel,Colonel E.H. Taylor Barrel Proof,Michter's 10 Bourbon,Evan Williams White Label Bottled in Bond,Elijah Craig Barrel Proof,1792 Full Proof,Parker's Heritage Collection 7th: Promise of Hope,Four Roses Small Batch Limited Edition 2013 125th Anniversary,0.6742,0.6677,0.5818,0.5477,0.5371,0.5287,0.3639,0.3465,0.2818,0.2713,0.2634,0.2479,0.239,0.2329,0.2203,0.2188,0.2084,0.2015,0.1918,0.1912,0.1903,0.1879,0.1877,0.1817,0.1815,0.1814,0.1791,0.178,0.1778,0.1769,0.1761,0.1748,0.1707,0.1687,0.1674,0.1671,0.1667,0.1653,0.1647,0.1636,0.1633,0.1626,0.1588,0.1559,0.1543,0.1543,0.1528,0.1515,0.1512,0.1508
Glenfiddich 14 Rich Oak,Glenlivet 16 Nadurra,Glenfiddich 12,Glenlivet 12,Glenmorangie Ealanta,Glenmorangie 10 Original,Glenfiddich 15,Deanston Virgin Oak,Glenlivet 15 French Oak Reserve,Glenfiddich 18,Dalwhinnie 15,Monkey Shoulder,Balvenie 12 Doublewood,Glenmorangie Astar,Glenlivet 18,Arran 10,Balvenie 17 Doublewood,Balvenie 15 Single Barrel,Glenmorangie 18,Chivas Regal 12,Auchentoshan 12,Macallan 10 Fine Oak,Cragganmore 12,AnCnoc 12,Elmer T. Lee,Oban 14,Woodford Reserve Double Oaked,Glenkinchie 12,Tomatin 12,Aberlour 10,Highland Park 12,Dalmore 12,Colonel E.H. Taylor Small Batch,Balvenie 21 Portwood,Aberlour 16,Buffalo Trace,Aberfeldy 12,Wild Turkey 101,Cardhu 12,Glen Garioch 12,Henry McKenna 10 Single Barrel,Deanston 12,Glenfarclas 12,Glenfiddich 15 Distillery Edition,Woodford Reserve Distiller's Select,Aberlour 12 Double Cask Matured,BenRiach 12,Old Pulteney 12,Auchentoshan Three Wood,Old Pulteney 17,Balvenie 12 Single Barrel First Fill,0.3116,0.2913,0.2892,0.2818,0.2817,0.2701,0.2694,0.2676,0.2595,0.257,0.2437,0.2432,0.2417,0.2392,0.2392,0.2278,0.2273,0.2202,0.2181,0.2133,0.2095,0.2051,0.1989,0.1979,0.1975,0.1958,0.1957,0.1954,0.1944,0.1928,0.1918,0.1892,0.1866,0.1837,0.1831,0.1821,0.1817,0.1814,0.1804,0.1794,0.1786,0.1784,0.1782,0.1761,0.1756,0.175,0.1749,0.1746,0.1738,0.1731
Macallan Edition No. 2,Glenfarclas 105 Cask Strength,GlenDronach 15 Revival,GlenDronach 12 Original,Glenmorangie Lasanta,Macallan Sherry Cask Strength,Aberlour 12 Non Chill Filtered,Macallan 12 Sherry,Balvenie 12 Doublewood,Glenfarclas 12,GlenDronach 21 Parliament,Aberlour A'bunadh batch #45,Aberlour 12 Double Cask Matured,Glenfarclas 17,Glengoyne 21,BenRiach 12 Sherry Matured,Aberlour 16,Kavalan Solist Sherry,Balvenie 15 Single Barrel Sherry Cask,Glenfarclas 25,Glenfarclas 40,Macallan 12,Auchentoshan Three Wood,Glenfarclas 15,Macallan 12 Double Cask,Glenfiddich 15,Aberlour 18,Balvenie 17 Doublewood,Aberlour 10,Macallan 18 Sherry,Macallan Classic Cut 2017,Aberlour A'bunadh batch #47,Macallan Rare Cask,Aberlour A'bunadh batch #46,Benrinnes 23,Tomatin 12,Balvenie Tun 1401 Batch #3,Benrinnes 14 1999 Lady of the Glen,Glenlivet 18,Dalmore 12,Bunnahabhain 12,Glengoyne 25,Tamdhu 10,Macallan 15 Fine Oak,Dalmore 15,Glenfiddich 18,Glenlivet Nadurra Oloroso,Bunnahabhain 18,Bruichladdich Black Art 2.2,GlenDronach 18 Allardice,Balblair 1990 2nd Release,0.5689,0.5658,0.5589,0.5581,0.5475,0.5416,0.5341,0.5278,0.523,0.5147,0.5081,0.503,0.4969,0.4731,0.4683,0.4676,0.4652,0.4641,0.4537,0.4529,0.45,0.4457,0.4432,0.4394,0.4335,0.4332,0.4255,0.4246,0.4206,0.4149,0.4122,0.4041,0.4034,0.403,0.3964,0.396,0.3954,0.3939,0.393,0.391,0.3899,0.3888,0.3873,0.3832,0.3826,0.3819,0.3801,0.3706,0.3677,0.3665
Jack Daniel's Single Barrel,Mellow Corn,George Dickel No. 12,Jack Daniel's Old No. 7,Evan Williams Black Label,Blanton's Original Single Barrel,Noah's Mill,Woodford Reserve Distiller's Select,Colonel E.H. Taylor Small Batch,Black Maple Hill,Bulleit Bourbon,Buffalo Trace White Dog Mash #1,Old Grand Dad 114,Wild Turkey 81,Parker's Heritage Collection 9th: Malt Whiskey,Four Roses Single Barrel,Old Grand Dad 100 Bottled in Bond,Wild Turkey 101,Four Roses Small Batch,Elmer T. Lee,Booker's Bourbon,Buffalo Trace,Nikka Coffey Grain,Blanton's Straight from the Barrel,Old Forester 86,Jim Beam White Label,Balcones Brimstone,Russell's Reserve Single Barrel Bourbon,Henry McKenna 10 Single Barrel,Rebel Yell 10 Single Barrel,Glenlivet 16 Nadurra,Stagg Jr.,Michter's 10 Bourbon,Woodford Reserve Double Oaked,Larceny Small Batch Bourbon,Evan Williams Single Barrel 2003,Rowan's Creek,Elijah Craig 12,Eagle Rare 10,Very Old Barton Bottled In Bond,High West Bourye,Glenmorangie Astar,Glenlivet 15 French Oak Reserve,W.L. Weller 12,Colonel E.H. Taylor Barrel Proof,Orphan Barrel Barterhouse 20,Evan Williams White Label Bottled in Bond,George T. Stagg 2013,Wild Turkey Rare Breed,Elijah Craig Barrel Proof,Maker's Mark,0.4284,0.4257,0.4028,0.3892,0.3461,0.3376,0.3293,0.3164,0.3043,0.2884,0.2799,0.2762,0.2755,0.2746,0.2711,0.2629,0.2554,0.2504,0.2424,0.242,0.2372,0.2367,0.2348,0.2294,0.2283,0.2269,0.2259,0.2229,0.2227,0.2225,0.2178,0.2154,0.2148,0.2122,0.2088,0.2032,0.2016,0.2008,0.1972,0.1972,0.1967,0.1957,0.1939,0.1937,0.1936,0.1935,0.1929,0.1927,0.189,0.187
WhistlePig 10 Straight Rye,Colonel E.H. Taylor Straight Rye,Rittenhouse Rye 100,Bulleit Rye,High West Double Rye,Willett Family Estate Rye 4y,High West Rendezvous Rye,Pikesville Rye,Michter's 10 Rye,Sazerac Rye,Michter's Barrel Strength Rye,Thomas H. Handy 2013,High West Bourye,Smooth Ambler Old Scout Rye 7,Jefferson's 10 Rye Whiskey,Russell's Reserve Single Barrel Rye,Angel's Envy Rye,Willett Family Estate Rye 3y,High West Son of Bourye,Thomas H. Handy 2014,J.P. Wiser's Dissertation,Four Roses Single Barrel,Bulleit Bourbon,Alberta Premium Dark Horse,Lot No. 40,Willett Family Estate Rye 2y,Four Roses Single Barrel Private Selection OBSQ,Booker's Rye,Wild Turkey 101 Rye,High West Campfire,Collingwood 21,High West A Midwinter Nights Dram,Old Grand Dad 114,Millstone 100 Rye,Breckenridge Bourbon,Smooth Ambler Old Scout Rye 8,Bulleit Bourbon 10,Knob Creek Rye,Wild Turkey Forgiven,Very Old Barton Bottled In Bond,Four Roses Small Batch,Van Winkle Family Reserve Rye 13,Old Grand Dad 100 Bottled in Bond,Basil Hayden's,Crown Royal Northern Harvest Rye,Blanton's Original Single Barrel,Thomas H. Handy 2016,1792 Ridgemont Reserve,Old Forester 86,Four Roses Single Barrel Private Selection OBSK,Wild Turkey 101,0.8921,0.8681,0.8391,0.8309,0.829,0.8184,0.818,0.8043,0.8018,0.794,0.7423,0.7397,0.7368,0.7359,0.7133,0.6858,0.6815,0.6679,0.6442,0.6377,0.6364,0.6289,0.6201,0.6103,0.6095,0.606,0.6058,0.5978,0.5895,0.586,0.5768,0.5622,0.5486,0.5443,0.5301,0.5218,0.5212,0.5129,0.512,0.5112,0.5025,0.4975,0.4967,0.4954,0.482,0.4815,0.4562,0.4397,0.4376,0.4334
Willett Family Estate Rye 3y,Colonel E.H. Taylor Straight Rye,Willett Family Estate Rye 4y,WhistlePig 10 Straight Rye,High West Double Rye,Bulleit Rye,Rittenhouse Rye 100,Pikesville Rye,High West Rendezvous Rye,Smooth Ambler Old Scout Rye 7,Sazerac Rye,Michter's Barrel Strength Rye,Russell's Reserve Single Barrel Rye,Michter's 10 Rye,Thomas H. Handy 2013,High West Bourye,Angel's Envy Rye,Jefferson's 10 Rye Whiskey,Willett Family Estate Rye 2y,Booker's Rye,Four Roses Single Barrel Private Selection OBSQ,High West Son of Bourye,Four Roses Single Barrel,Thomas H. Handy 2014,Bulleit Bourbon,Lot No. 40,Wild Turkey 101 Rye,Millstone 100 Rye,Old Grand Dad 114,Smooth Ambler Old Scout Rye 8,High West A Midwinter Nights Dram,Wild Turkey Forgiven,J.P. Wiser's Dissertation,High West Campfire,Four Roses Small Batch,Alberta Premium Dark Horse,Bulleit Bourbon 10,Breckenridge Bourbon,Collingwood 21,Thomas H. Handy 2016,Old Grand Dad 100 Bottled in Bond,Blanton's Straight from the Barrel,Blanton's Original Single Barrel,Knob Creek Rye,Russell's Reserve Single Barrel Bourbon,Van Winkle Family Reserve Rye 13,Basil Hayden's,Very Old Barton Bottled In Bond,Four Roses Single Barrel Private Selection OBSF,Wild Turkey 101,Four Roses Single Barrel Private Selection OBSK,0.6965,0.6965,0.6815,0.6728,0.6694,0.6522,0.6499,0.6443,0.6319,0.6257,0.6196,0.6038,0.6012,0.5954,0.5717,0.5577,0.5491,0.5384,0.5202,0.5158,0.5136,0.5135,0.4942,0.4929,0.4774,0.4673,0.4663,0.4625,0.4543,0.4512,0.4449,0.4448,0.4433,0.4419,0.4383,0.4375,0.4314,0.4267,0.4205,0.4125,0.409,0.4023,0.4001,0.3998,0.3943,0.3829,0.3773,0.3678,0.3668,0.357
Heaven Hill 6 Bottled in Bond,Henry McKenna 10 Single Barrel,Old Ezra 101,Evan Williams White Label Bottled in Bond,Parker's Heritage Collection 7th: Promise of Hope,Old Grand Dad 100 Bottled in Bond,Michter's 10 Bourbon,Old Grand Dad 114,Colonel E.H. Taylor Small Batch,Elijah Craig 12,Woodford Reserve Distiller's Select,Bulleit Bourbon,Elmer T. Lee,Wild Turkey 101,Buffalo Trace,Four Roses Small Batch,Blanton's Original Single Barrel,Evan Williams Black Label,Elijah Craig Barrel Proof,Booker's Bourbon,Very Old Barton Bottled In Bond,Four Roses Single Barrel,Basil Hayden's,Rebel Yell 10 Single Barrel,Rock Hill Farms Single Barrel Bourbon,Noah's Mill,Russell's Reserve Single Barrel Bourbon,Rowan's Creek,Wild Turkey Rare Breed,Rittenhouse Rye 100,Blanton's Straight from the Barrel,Black Maple Hill,Mellow Corn,Evan Williams Single Barrel 2003,Four Roses Yellow Label,Pikesville Rye,Four Roses Single Barrel Private Selection OBSQ,High West Bourye,Jim Beam White Label,Parker's Heritage Collection 6th: Blend of Mashbills,Old Forester 1920,Orphan Barrel Barterhouse 20,Eagle Rare 10,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Colonel E.H. Taylor Barrel Proof,Breckenridge Bourbon,Old Forester 86,1792 Small Batch,1792 Ridgemont Reserve,Jack Daniel's Old No. 7,Larceny Small Batch Bourbon,0.5691,0.4946,0.492,0.4457,0.4245,0.4071,0.3997,0.3828,0.3783,0.3573,0.3554,0.3495,0.3445,0.3344,0.3077,0.3077,0.3041,0.301,0.2956,0.2932,0.2908,0.2906,0.2849,0.2793,0.2737,0.2723,0.2706,0.2705,0.2702,0.2701,0.2691,0.2608,0.2583,0.258,0.2514,0.2481,0.2475,0.2448,0.244,0.2383,0.2364,0.2282,0.2236,0.222,0.2209,0.2199,0.2185,0.2185,0.2152,0.215
Russell's Reserve 10,Russell's Reserve Single Barrel Bourbon,Wild Turkey 101,Wild Turkey Rare Breed,Woodford Reserve Distiller's Select,Wild Turkey Decades,Wild Turkey 101 Rye,Wild Turkey Kentucky Spirit,Blanton's Original Single Barrel,Russell's Reserve Single Barrel Rye,Colonel E.H. Taylor Small Batch,Wild Turkey Forgiven,Elmer T. Lee,Bulleit Bourbon,Noah's Mill,Blanton's Straight from the Barrel,Four Roses Small Batch,Four Roses Single Barrel,Buffalo Trace,Henry McKenna 10 Single Barrel,Colonel E.H. Taylor Barrel Proof,Booker's Bourbon,Wild Turkey 81,Knob Creek Single Barrel Reserve,1792 Small Batch,Old Grand Dad 114,Elijah Craig Barrel Proof,Orphan Barrel Barterhouse 20,Elijah Craig 12,W.L. Weller 12,Knob Creek 9 Small Batch,Evan Williams Single Barrel 2003,Old Grand Dad 100 Bottled in Bond,Rittenhouse Rye 100,Rebel Yell 10 Single Barrel,Michter's 10 Bourbon,Michter's 10 Rye,Stagg Jr.,Pikesville Rye,Four Roses Single Barrel Private Selection OBSF,Rock Hill Farms Single Barrel Bourbon,Old Weller Antique 107,Colonel E.H. Taylor Single Barrel,Eagle Rare 10,Breckenridge Bourbon,Baker's 107,Rowan's Creek,1792 Full Proof,High West Bourye,Black Maple Hill,Four Roses Single Barrel Private Selection OBSQ,0.3886,0.3806,0.3584,0.3292,0.3177,0.2898,0.2885,0.2534,0.2344,0.2342,0.2331,0.222,0.2182,0.2135,0.2102,0.2045,0.2021,0.2012,0.201,0.2004,0.1983,0.1935,0.1933,0.19,0.1869,0.1842,0.18,0.1795,0.1731,0.1726,0.1678,0.1565,0.1541,0.1528,0.1526,0.1519,0.1513,0.1498,0.1463,0.1455,0.1442,0.1425,0.142,0.1394,0.1382,0.1365,0.136,0.1357,0.1351,0.1339
Jack Daniel's Old No. 7,Jack Daniel's Single Barrel,George Dickel No. 12,Evan Williams Black Label,Mellow Corn,Jim Beam White Label,Colonel E.H. Taylor Small Batch,Woodford Reserve Distiller's Select,Noah's Mill,Old Grand Dad 100 Bottled in Bond,Booker's Bourbon,Blanton's Original Single Barrel,Wild Turkey 81,Old Grand Dad 114,Henry McKenna 10 Single Barrel,Black Maple Hill,Evan Williams White Label Bottled in Bond,Rowan's Creek,Wild Turkey Rare Breed,Larceny Small Batch Bourbon,Old Forester 1920,Elmer T. Lee,Bulleit Bourbon,Wild Turkey 101,Parker's Heritage Collection 9th: Malt Whiskey,Buffalo Trace,Elijah Craig 12,Woodford Reserve Double Oaked,Orphan Barrel Barterhouse 20,Blanton's Straight from the Barrel,Michter's 10 Bourbon,Rebel Yell 10 Single Barrel,W.L. Weller 12,Stagg Jr.,Basil Hayden's,Heaven Hill 6 Bottled in Bond,Knob Creek 9 Small Batch,Four Roses Yellow Label,Evan Williams Single Barrel 2003,Colonel E.H. Taylor Barrel Proof,Dewar's White Label,Nikka Coffey Grain,Johnnie Walker Red Label,Four Roses Single Barrel,Four Roses Small Batch,Crown Royal,Jim Beam Devil's Cut,Eagle Rare 10,Chivas Regal 12,Old Ezra 101,Baker's 107,0.4028,0.3716,0.3642,0.3415,0.3281,0.3226,0.322,0.3146,0.3108,0.2989,0.2958,0.2934,0.2926,0.2863,0.2796,0.2765,0.2762,0.275,0.2731,0.2678,0.2632,0.2608,0.2575,0.2479,0.2451,0.2433,0.2423,0.2317,0.2296,0.2254,0.2215,0.2198,0.2163,0.2159,0.2152,0.2151,0.215,0.2148,0.2147,0.2129,0.212,0.2118,0.2089,0.2057,0.2029,0.2026,0.2011,0.1994,0.1973,0.1925
